label,Text
Couldn't be improved,In my experience I have nothing but praise.
Couldn't be improved,"Nothing, my nurses are the best."
Environment/ facilities,The only thing I can think of is the commodes could have been a lot smaller as I am very short.  So a different sizes would help to make it more comfortable.
Access,"I am begging for help with my child’s behaviours, and nobody is helping me. I don’t know where to go or who to contact."
Care received,"When you leave... jeez! Like you leave and they say oh we’ve made sure you have this, this and this support. But as soon as you walk out those doors. You have nobody! And then they blame it on you."
Couldn't be improved,No.
Communication,Communication.
Environment/ facilities,Food is not up to standard. Stodgy and full of carbs.
Couldn't be improved,I don’t know.
Environment/ facilities,Food.
Couldn't be improved,Can't think of anything.
Care received,"Group was probably a bit to small, only 3 on last day."
Couldn't be improved,I don't think so.
Couldn't be improved,Given the circumstances not much.
Couldn't be improved,Nothing they are amazing.
Care received,More therapy choices.
Communication,"Sometimes the video conferences did not work, but I was happy to take the sessions by phone."
Care received,Back to face to face when possible.
Staff,"Female healthcare are rude and unsupportive. One in particular is unprofessional, and made me want to self-harm."
Care received,"Ideally a face to face consultation, however at these very difficult times that was impossible."
Communication,"We have struggled getting through on the mobile in the evening. We often try all the way from 6.30 to 7.30, the landline isn't always any better."
Couldn't be improved,Nothing better for me. 
Environment/ facilities,food could be better. Physio could be better would like to know first thing in the morning if getting physio would have like it one time a day not three time week. Would have like physio everyday would more decisions input in care.
Care received,Obviously with Covid couldn't do as many activities but good with what we could
Couldn't be improved,Nothing
Care received,Music. Practical mindfulness. Psychologist
Care received,More music mediation
Access,"Sometimes a request for another phone consultation was forgotten so I had to book one thru reception, which was no problem but intermittently occurred"
Couldn't be improved,Don't know
Access,I would have liked to progress to Step 4 psychology quicker. At the moment I will have to wait 18 months before my treatment with them starts
Environment/ facilities,More tidying up of <?>
Couldn't be improved,Everything is fine. 
Staff,Female staff do not be using their mobiles whilst sat on the ward.  They pay more attention to that that us.
Staff,"Male members of staff have takeaways daily, this isn't fair as I cannot afford takeaways, they can be very selfish."
Staff,"Male members of staff are sometimes explicit in nature, this triggers my PTSD and want to leave. B2`should only have female staff. Staff recruitment spoils what B2 does well."
Transition/coordination,Continuity of clinician would be ideal in a therapeutic based treatment.
Care received,"Take time out to talk to patients & activities.  
Cleaner ward - dirty. 
Would like to have been able to use escorted leave more. "
Care received,"Staff could spend more time with patients, out of the office. 
Have someone who works here who has the same illness and understands. "
Staff,"I'm already in the process of making an official complaint. 
Staff were rude, not friendly nor were they approachable.  They didn't give out medication when they should as they didn't have it for 2 doses. They didn't listen & showed no respect at all."
Care received,"Some patients were allowed phone charger and others not. 
Gluten free menu could be improved. 
Some bank staff very quite. "
Environment/ facilities,Microwave. 
Access,"Waiting times were sometimes excessive, but I appreciate under the current climate and pandemic they/things may take longer than usual."
Care received,To take to and from places and be of some support with going to places. 
Care received,Give lifts to and from places and could take you out and about for support. 
Care received,Whilst great support & couldn't have got through this without Claire/Rebecca/Megan(?) - there are still some underlying anxiety issues & I don't feel we have properly addressed these. It would have been good to have come up with an action plan for next steps / recommendations re: how could address these
Transition/coordination,Discharger quicker. 
Environment/ facilities,More quite and less lights. 
Staff,"Some of you are great, helpful, kind & nice but a few take sides with others & block you out and call you and just show that they don't like you.  Everyone should be treated the same."
Environment/ facilities,"Less noise with doors banging. 
Not too bright lights when being woken up in a morning. 
More activities needed for full week."
Environment/ facilities,Its hard with food as everyone is different. 
Couldn't be improved,I don't think you could do anything better. 
Couldn't be improved,I am completely satisfied.  
Couldn't be improved,There is nothing better Chris can do. 
Staff,Very rude psychologist doctor
Couldn't be improved,zero
Couldn't be improved,Difficult to think of anything!
Care received,More in tune to patients needs. 
Couldn't be improved,Very little. 
Couldn't be improved,Nothing
Care received,Giving me my <?> machine and my Precalin<?>. Pity the Dr's attitude towards patients is not as that of the nurses
Couldn't be improved,"Not sure, nothing I could think of"
Couldn't be improved,All of it
Staff,Get the psychiatrist from Nottingham
Staff,"Psychiatrist doesn't care about helping me get through this time in my life, doesn't understand me and communication is poor"
Access,See me more
Communication,"Communicate properly on how long the waiting list is to start MBT.
Regular 1-2-1's when waiting for MBT, note very 3 months.
Manage volatile situations in group session better. 
Get more of a gender balance in group sessions."
